media,bias,youtubeChannel,viewCount,subscribersCount,videoCount
california political review,right-center,https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA,1019209857,3366197,859
rt news,right-center,https://www.youtube.com/channel/UCpwvZwUam-URkxB7g4USKpg,2436201192,2820867,40154
real clear policy,right-center,https://www.youtube.com/channel/UCXIJgqnII2ZOINSWNOGFThA,993343789,1462900,51302
the new atlantis,right-center,https://www.youtube.com/channel/UCYwDp3hlpvvUNY--qI_lpLg,985236858,1414574,2034
wall street journal,right-center,https://www.youtube.com/channel/UCK7tptUDHh-RYDsdxO1-5QQ,519442282,941239,25603
forbes,right-center,https://www.youtube.com/channel/UCmh7afBz-uWwOSSNTqUBAhg,71393151,571144,5260
the quint,right-center,https://www.youtube.com/channel/UCSaf-7p3J_N-02p7jHzm5tA,130743536,492917,16651
russia insider,right-center,https://www.youtube.com/channel/UCAvBcst08Tfo4VNtIaRPTNw,256139695,459051,2565
daily telegraph,right-center,https://www.youtube.com/channel/UCPgLNge0xqQHWM5B5EFH9Cg,557572729,410439,17924
reason,right-center,https://www.youtube.com/channel/UC0uVZd8N7FfIZnPu0y7o95A,114396655,333172,2539
times news (pennsylvania),right-center,https://www.youtube.com/channel/UCHqC-yWZ1kri4YzwRSt6RGQ,62791272,300837,2060
just facts daily,right-center,https://www.youtube.com/channel/UC-JZxrh6AMieCyzuU5ZW3Ow,102401509,226131,386
jewish breaking news,right-center,https://www.youtube.com/channel/UC3q-ByZ2eoOikcEiajMYXXA,50790988,224807,2195
ntd.tv (new tang dynasty),right-center,https://www.youtube.com/channel/UC8Ioh4atNDO5a0Vy2qFmauQ,311467750,207930,28479
learn liberty,right-center,https://www.youtube.com/channel/UCFJNcE0iHj7P6dhp5iCZRLg,37535613,170546,616
news rescue,right-center,https://www.youtube.com/channel/UC3XaG-7UVi2vD8ZZEMNnnpw,98540824,166770,37149
detroit news,right-center,https://www.youtube.com/channel/UC6HyKpYWmX4zsy6_bJZIK7A,204852549,154846,63340
the news lens,right-center,https://www.youtube.com/channel/UC4bokYuSrVGpI6_WYv7Gdbw,21063620,146752,1583
desert sun,right-center,https://www.youtube.com/channel/UCoVt9WOZcTYadXM64jQLfjw,89321868,146601,234
new york post,right-center,https://www.youtube.com/channel/UCrvhNP_lWuPIP6QZzJmM-bw,223807280,145089,6009
itv news,right-center,https://www.youtube.com/channel/UCFQgi22Ht00CpaOQLtvZx2A,85483505,113024,5438
gulf news,right-center,https://www.youtube.com/channel/UCXTuTQZarVcFR_fgQXvsLpw,54930847,109750,3324
